"","AGE_W1_CORE","ATTVIO12_W6","ATTVIO1_W6","COUNTRY_W6","DFH1_W6","DFH2_W6","DFH3_W6","DFH4_W6","DFH5_W6","DFH6_W6","DFH7_W6","DFH8_W6","DFH9_W6","DFH10_W6","DFH11_W6","DFH12_W6","DFH13_W6","DFH14_W6","DFH15_W6","DFH16_W6","DFH17_W6","DFH18_W6","DFH19_W6","DFH20_W6","DFH21_W6","DFH22_W6","DFH23_W6","DFH24_W6","DFH25_W6","DFH26_W6","DFH27_W6","DFH28_W6","DFH29_W6","DFH30_W6","DFHNORMS1_W6","DFHNORMS2_W6","DFHNORMS3_W6","DFHNORMS4_W6","DFHNORMS5_W6","DFHNORMS6_W6","DFHNORMS7_W6","DFHNORMS8_W6","DFHNORMS9_W6","DFHNORMS10_W6","DFHNORMS11_W6","DFHNORMS12_W6","DFHNORMS13_W6","DFHNORMS14_W6","DFHNORMS15_W6","DFHNORMS16_W6","DFHNORMS17_W6","DFHNORMS18_W6","DFHNORMS19_W6","DFHNORMS20_W6","DFHNORMS21_W6","DFHNORMS22_W6","DFHNORMS23_W6","DFHNORMS24_W6","DFHNORMS25_W6","DFHNORMS26_W6","DFHNORMS27_W6","DFHNORMS28_W6","DFHNORMS29_W6","DFHNORMS30_W6","EDUCATION_W6","ETHNICITY_SA_CORE","GENDER_CORE","RELIGION_W2_CORE","SELFFACE1_W6","SELFFACE2_W6","SELFFACE3_W6","SELFFACE4_W6","SELFFACE5_W6","SELFFACE6_W6","SELFFACE7_W6","SELFFACE8_W6","SELFFACE9_W6","SELFFACE10_W6","SELFFACE11_W6","SELFFACE12_W6","SELFFACE13_W6"
"1134","18","4","3","Kenya","5","5","5","5","5","6","4","5","5","5","5","5","6","4","5","5","5","2","2","5","5","2","3","5","6","4","5","5","5","4","4","NA","NA","4","NA","NA","5","NA","NA","NA","5","NA","4","NA","2","NA","NA","NA","NA","5","NA","NA","5","NA","NA","NA","NA","5","5","NA","1","available upon request","1","christianity","3","0","5","5","7","7","7","2","2","2","5","5","2"
"1135","NA","3","3","Kenya","5","5","5","4","5","5","4","4","5","5","4","1","5","5","5","6","3","5","5","4","6","3","5","4","4","5","5","4","5","4","NA","NA","4","NA","NA","NA","3","NA","NA","3","NA","1","4","1","NA","NA","4","NA","6","NA","NA","NA","NA","NA","NA","4","NA","NA","4","NA","4","available upon request","0","NA","3","0","4","6","6","6","6","6","4","6","6","4","4"
"1136","18","2","3","Kenya","3","3","3","4","4","3","3","6","4","3","4","4","4","4","4","4","4","3","4","4","5","4","4","3","4","2","4","2","4","4","NA","NA","NA","3","NA","4","5","4","NA","NA","NA","NA","NA","4","NA","5","NA","NA","NA","4","NA","NA","4","NA","NA","NA","NA","NA","4","3","1","available upon request","0","christianity","2","0","4","6","7","5","5","5","4","6","6","4","4"
"1137","NA","1","4","Kenya","5","5","5","5","5","5","5","4","5","5","3","1","4","1","6","5","3","1","4","5","5","2","5","5","1","1","5","5","5","5","NA","NA","NA","NA","NA","5","NA","5","NA","NA","5","1","NA","NA","NA","NA","NA","NA","5","5","NA","NA","NA","5","3","NA","NA","NA","5","5","1","available upon request","0","NA","3","0","6","6","6","6","6","4","4","6","6","4","4"
"1138","18","1","3","Kenya","6","6","6","4","2","6","5","4","6","5","5","1","4","5","5","5","4","5","5","6","5","2","5","5","1","2","3","5","5","5","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA","NA","NA","5","NA","NA","NA","2","NA","2","2","NA","NA","NA","NA","5","NA","NA","2","2","3","available upon request","0","NA","3","0","6","6","6","6","2","4","4","2","2","2","2"
"1139","18","2","3","Kenya","5","5","5","6","5","5","5","5","5","3","5","2","5","2","5","5","4","3","5","5","6","5","4","5","6","5","4","5","5","4","NA","NA","NA","5","NA","NA","NA","3","NA","NA","NA","NA","NA","2","NA","NA","5","NA","5","5","NA","NA","NA","NA","NA","5","2","NA","5","5","1","available upon request","0","christianity","1","1","6","6","6","3","4","6","2","2","4","2","4"
"1140","NA","1","1","Kenya","6","6","5","3","5","6","6","5","6","4","6","1","6","6","6","5","5","6","3","5","6","3","3","4","5","3","4","5","6","6","NA","NA","3","NA","5","NA","NA","NA","NA","NA","6","NA","NA","1","NA","NA","NA","NA","3","4","NA","NA","NA","5","NA","2","NA","5","5","NA","2","available upon request","1","NA","2","0","5","5","6","6","6","6","6","6","6","6","6"
"1141","18","1","1","Kenya","4","6","5","5","5","6","4","5","6","4","2","2","4","6","6","5","6","6","6","6","6","5","5","6","3","5","5","6","6","6","4","5","6","NA","NA","6","6","NA","6","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","6","NA","NA","NA","NA","NA","1","available upon request","0","NA","5","0","1","6","7","6","7","7","7","7","7","7","7"
"1142","18","1","5","Kenya","6","5","4","6","5","6","4","1","6","6","6","2","6","3","6","6","6","5","6","6","6","3","6","4","6","6","6","2","6","6","NA","2","NA","NA","1","6","5","NA","NA","5","NA","2","NA","NA","NA","NA","1","1","NA","NA","NA","NA","1","NA","NA","NA","6","NA","NA","NA","2","available upon request","0","NA","3","0","2","1","2","6","7","5","7","7","7","7","3"
"1143","18","3","4","Kenya","3","5","5","3","2","6","4","6","6","4","5","4","3","3","6","4","4","4","4","5","6","3","5","6","5","4","5","6","3","5","3","5","3","5","NA","6","NA","NA","6","4","6","NA","NA","NA","NA","4","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","available upon request","0","NA","2","0","5","5","6","5","5","6","4","4","4","4","4"
"1144","18","1","3","Kenya","6","6","6","6","6","6","6","6","6","6","4","4","5","1","4","5","4","5","2","6","6","3","4","6","4","3","2","5","5","4","NA","6","6","6","6","NA","NA","NA","NA","NA","NA","5","2","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","NA","NA","6","NA","1","available upon request","0","NA","2","0","6","7","7","7","5","4","1","1","1","7","1"
"1145","19","4","4","Kenya","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","5","5","5","5","5","NA","NA","NA","NA","NA","5","5","NA","NA","6","5","NA","5","NA","6","NA","NA","5","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","5","4","available upon request","0","christianity","1","0","5","5","5","5","7","5","5","5","5","5","5"
"1146","18","1","1","Kenya","6","6","6","6","6","6","6","6","6","3","6","2","6","1","6","6","6","6","1","6","6","6","6","6","1","1","1","5","6","1","6","NA","NA","6","NA","NA","NA","6","6","NA","NA","1","NA","NA","NA","6","5","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","6","1","1","available upon request","0","christianity","2","0","3","6","1","4","1","1","1","7","7","7","7"
"1147","18","1","4","Kenya","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","5","6","6","6","5","4","6","5","6","5","4","6","6","6","5","NA","NA","NA","NA","NA","5","NA","NA","5","6","NA","NA","NA","NA","NA","NA","NA","5","4","NA","5","NA","NA","6","NA","6","NA","6","NA","1","available upon request","1","christianity","2","1","6","6","7","4","2","5","4","6","7","6","5"
"1148","18","1","2","Kenya","5","6","6","5","4","6","6","6","6","6","6","4","5","1","6","5","5","6","6","6","6","5","5","5","5","1","5","4","1","1","NA","NA","NA","5","NA","NA","NA","NA","6","NA","6","NA","NA","NA","NA","6","6","NA","NA","6","5","NA","6","NA","6","NA","6","NA","NA","NA","1","available upon request","1","christianity","4","1","1","6","4","4","1","4","2","4","7","7","7"
"1149","NA","1","3","Kenya","6","6","5","6","6","6","6","6","6","6","4","1","6","6","4","4","6","6","6","6","5","4","5","6","6","6","5","6","6","6","6","6","NA","NA","NA","6","NA","6","6","NA","NA","NA","5","NA","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","5","NA","NA","NA","6","available upon request","0","NA","5","0","7","7","7","7","7","7","7","6","6","6","4"
"1150","NA","2","2","Kenya","6","6","6","6","6","6","6","6","6","6","6","3","6","3","6","6","6","6","6","6","6","3","6","6","6","3","6","6","6","6","6","6","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","6","NA","NA","6","NA","NA","NA","6","6","6","NA","6","NA","NA","NA","NA","6","NA","1","available upon request","1","NA","1","0","7","7","7","7","7","7","7","7","7","7","7"
"1151","NA","2","4","Kenya","5","5","5","5","5","5","6","5","6","5","5","5","5","5","5","5","5","6","5","5","5","5","5","5","5","5","5","6","5","5","NA","5","NA","5","NA","NA","NA","NA","NA","5","5","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","5","5","5","NA","NA","NA","5","2","available upon request","0","NA","1","1","6","6","6","6","6","6","6","6","6","6","6"
"1152","18","1","3","Kenya","2","6","6","6","6","6","6","6","5","6","5","2","2","1","4","6","6","3","6","3","4","2","4","6","2","3","5","6","5","5","NA","NA","2","2","NA","2","NA","NA","NA","3","NA","NA","NA","6","6","NA","NA","NA","NA","NA","6","NA","NA","5","NA","NA","NA","NA","2","2","1","available upon request","1","christianity","3","1","2","2","2","2","2","2","2","1","1","1","6"
"1153","17","1","1","Kenya","4","5","4","3","4","5","2","3","3","4","3","5","3","3","3","3","3","3","4","3","4","5","4","3","5","4","5","4","4","4","NA","NA","NA","5","NA","NA","NA","NA","3","NA","NA","NA","4","5","NA","NA","5","NA","NA","NA","NA","5","NA","4","3","NA","5","NA","5","NA","1","available upon request","1","NA","2","1","4","4","6","5","6","6","6","5","6","6","6"
"1154","21","4","4","Kenya","5","4","4","5","4","5","5","5","5","4","5","2","5","5","4","4","5","5","4","5","5","5","5","5","5","5","4","5","4","5","5","5","NA","NA","NA","NA","5","NA","5","5","NA","5","NA","NA","NA","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","5","5","NA","4","available upon request","0","christianity","1","1","5","5","5","6","6","6","6","2","6","6","6"
"1155","20","1","3","Kenya","6","6","6","3","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","4","NA","NA","6","5","NA","NA","6","NA","NA","NA","6","NA","6","NA","1","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","6","NA","4","6","NA","3","available upon request","0","christianity","1","1","2","7","7","7","3","3","3","7","7","7","7"
"1156","18","1","2","Kenya","4","4","6","5","6","6","4","5","5","4","4","3","5","1","6","2","4","3","5","5","5","6","4","5","4","5","2","4","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","NA","NA","NA","NA","3","4","3","NA","NA","5","6","NA","5","NA","NA","2","NA","5","NA","1","available upon request","0","christianity","1","1","6","7","7","6","6","7","6","6","4","2","2"
"1157","21","1","2","Kenya","5","5","6","5","5","5","6","5","6","6","5","2","5","2","4","6","2","5","6","6","6","6","6","6","5","2","2","6","5","6","5","NA","5","NA","6","NA","NA","NA","NA","5","NA","3","5","NA","NA","NA","NA","NA","NA","NA","5","NA","5","NA","NA","NA","NA","NA","5","5","4","available upon request","1","christianity","1","0","1","6","5","6","6","7","5","6","7","6","2"
"1158","18","3","4","Kenya","6","5","3","3","4","5","5","5","4","4","5","5","6","4","6","5","4","5","6","4","5","2","5","4","4","6","1","5","4","4","NA","NA","5","NA","NA","NA","4","4","5","4","NA","NA","NA","6","NA","5","NA","NA","NA","NA","NA","2","5","NA","NA","NA","NA","4","NA","NA","3","available upon request","NA","NA","4","1","6","6","5","4","5","3","2","2","4","4","2"
"1159","NA","4","4","Kenya","5","5","5","4","5","4","4","5","4","5","6","5","5","4","6","5","6","5","5","5","5","4","5","5","5","4","5","4","4","5","NA","NA","5","5","5","NA","5","NA","5","NA","NA","NA","5","NA","6","5","6","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","available upon request","1","NA","2","1","1","4","6","6","6","6","6","6","5","6","6"
"1160","19","2","3","Kenya","4","4","4","4","4","5","5","5","5","5","4","3","5","4","4","3","4","4","1","4","4","4","4","4","4","4","4","5","5","4","NA","4","NA","NA","NA","NA","4","5","NA","5","NA","2","5","NA","NA","NA","NA","NA","NA","NA","4","NA","4","NA","4","NA","NA","NA","4","NA","1","available upon request","1","NA","5","1","2","6","6","4","2","6","6","6","6","6","5"
"1161","18","2","2","Kenya","5","5","5","5","4","5","5","5","5","5","5","2","5","5","5","5","5","4","5","5","5","5","2","5","5","5","5","5","5","5","5","NA","2","NA","5","NA","5","NA","NA","NA","NA","NA","NA","NA","2","5","NA","5","NA","5","3","NA","NA","NA","NA","5","NA","NA","NA","NA","4","available upon request","0","christianity","2","0","6","6","6","6","6","6","6","6","6","6","2"
"1162","18","2","2","Kenya","5","5","5","6","4","5","6","6","5","5","5","4","5","2","4","6","2","5","6","5","6","6","5","5","4","1","2","5","5","5","3","5","NA","5","NA","NA","NA","NA","NA","NA","NA","4","NA","2","NA","NA","NA","NA","4","NA","6","NA","NA","5","3","2","NA","NA","NA","NA","2","available upon request","0","christianity","2","0","6","6","6","6","6","5","3","3","3","3","3"
"1163","NA","1","3","Kenya","5","6","5","5","5","5","5","4","6","5","4","1","4","2","4","5","4","5","4","6","6","5","5","5","6","1","2","4","5","1","NA","NA","NA","2","NA","NA","NA","4","NA","5","NA","4","5","3","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","5","NA","NA","NA","4","2","6","available upon request","0","christianity","1","1","5","5","5","5","5","5","4","5","4","6","4"
"1164","NA","2","3","Kenya","5","6","5","5","5","6","6","6","6","4","6","4","6","1","5","5","5","5","5","4","6","5","6","5","5","6","6","5","6","5","NA","NA","NA","5","NA","6","NA","NA","NA","5","NA","5","NA","NA","NA","NA","NA","NA","6","6","5","NA","NA","5","5","NA","NA","5","NA","NA","2","available upon request","0","NA","3","0","7","7","7","7","7","5","1","6","6","1","4"
"1165","21","1","2","Kenya","6","6","6","5","5","4","5","6","5","5","6","6","6","2","2","6","5","6","5","5","5","6","5","4","2","2","5","5","5","4","5","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","5","6","NA","5","NA","5","5","5","NA","5","NA","1","available upon request","1","christianity","2","1","6","6","6","6","6","6","2","6","7","6","4"
"1166","NA","4","1","Kenya","5","6","6","6","1","4","6","3","3","1","6","6","6","5","5","2","2","1","1","5","5","6","2","1","4","6","1","3","3","4","NA","4","NA","2","5","6","NA","6","NA","NA","3","NA","NA","NA","NA","2","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","4","5","NA","NA","1","available upon request","1","NA","1","0","6","3","4","6","5","7","1","2","1","4","6"
"1167","NA","2","4","Kenya","6","4","6","4","6","6","6","6","4","5","6","6","6","3","5","5","6","6","6","6","4","3","5","6","6","6","6","6","6","6","5","NA","NA","5","5","NA","NA","NA","NA","5","5","NA","NA","NA","5","NA","NA","NA","5","NA","NA","5","NA","5","NA","NA","NA","5","NA","NA","2","available upon request","0","NA","2","0","6","6","6","6","6","6","4","5","6","6","6"
"1168","18","1","2","Kenya","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","NA","NA","6","5","NA","NA","6","6","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","6","2","NA","6","NA","5","NA","NA","NA","NA","NA","1","available upon request","NA","NA","2","0","1","5","5","6","6","6","6","6","5","6","6"
"1169","18","1","2","Kenya","6","6","6","6","6","6","5","6","6","5","6","2","5","2","2","6","5","5","5","6","6","5","1","5","4","2","5","5","5","5","NA","NA","5","NA","NA","NA","5","6","NA","NA","NA","6","4","NA","NA","NA","NA","6","5","NA","4","NA","NA","6","NA","3","NA","NA","NA","NA","1","available upon request","1","christianity","3","0","6","5","6","6","6","5","2","6","6","2","2"
"1170","NA","2","5","Kenya","5","5","6","6","5","4","5","5","5","5","5","2","5","2","5","6","5","6","5","6","6","6","6","5","5","6","5","5","5","5","NA","4","NA","NA","NA","5","NA","NA","NA","NA","5","NA","5","NA","5","NA","NA","NA","5","NA","5","2","NA","5","NA","5","NA","NA","NA","NA","1","available upon request","0","NA","4","0","6","6","6","6","6","6","6","6","6","6","2"
"1171","18","1","2","Kenya","6","6","6","6","6","6","6","5","6","6","3","4","3","4","6","5","4","4","4","4","3","4","5","5","4","2","3","5","6","5","NA","6","NA","NA","NA","NA","NA","NA","6","6","NA","1","5","NA","5","NA","NA","NA","NA","5","4","3","NA","NA","5","NA","NA","NA","NA","NA","1","available upon request","0","christianity","2","0","2","6","6","6","4","6","2","1","2","6","2"
"1172","18","1","3","Kenya","6","6","5","6","6","6","6","6","6","6","5","3","5","2","4","4","4","4","5","4","4","3","3","5","3","3","2","6","5","4","NA","NA","NA","5","5","NA","6","NA","6","NA","5","NA","NA","NA","4","NA","NA","NA","NA","4","NA","NA","NA","5","NA","4","NA","NA","NA","5","1","available upon request","0","christianity","2","1","6","6","6","4","4","4","4","4","4","2","4"
"1173","18","5","4","Kenya","5","6","5","5","5","5","5","5","5","6","5","5","6","5","5","5","5","6","6","6","6","5","6","6","3","6","5","6","6","4","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","5","5","NA","5","NA","NA","NA","6","NA","NA","6","4","NA","5","5","6","available upon request","0","NA","2","1","6","5","5","6","5","6","6","5","7","7","5"
"1174","NA","1","1","Kenya","6","6","6","6","6","6","6","6","6","6","6","2","6","4","4","5","4","4","6","6","6","2","6","6","4","6","6","6","6","6","NA","NA","NA","NA","6","NA","6","6","NA","6","NA","NA","NA","NA","6","NA","6","NA","6","NA","6","NA","NA","NA","NA","NA","6","NA","NA","6","5","available upon request","1","NA","2","0","5","7","7","7","7","4","4","7","7","4","7"
"1175","NA","1","1","Kenya","5","6","6","6","6","6","6","6","6","5","3","4","3","1","4","5","5","4","5","5","5","5","4","6","4","1","4","6","5","2","NA","5","NA","4","NA","NA","5","6","6","6","NA","NA","NA","NA","NA","4","NA","4","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","5","1","available upon request","1","christianity","4","1","7","7","6","5","5","5","4","4","5","3","3"
"1176","NA","1","5","Kenya","5","6","6","6","1","6","6","6","6","6","6","1","6","2","6","3","6","3","6","6","4","6","4","6","4","1","3","6","4","6","1","6","NA","NA","1","6","NA","1","NA","NA","NA","NA","6","NA","NA","NA","NA","6","4","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","1","available upon request","0","no affiliation","4","0","4","7","7","4","7","4","4","7","7","6","6"
"1177","NA","1","5","Kenya","6","6","6","6","6","6","6","6","6","6","6","6","6","1","6","6","6","1","6","6","6","3","6","6","6","1","6","6","6","6","NA","6","NA","NA","NA","NA","NA","NA","NA","6","6","NA","NA","NA","6","NA","6","1","NA","6","NA","NA","6","NA","NA","1","NA","NA","NA","1","1","available upon request","0","christianity","5","0","7","7","7","7","7","7","7","7","7","7","7"
"1178","NA","NA","NA","Kenya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","available upon request","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1179","21","2","2","Kenya","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","6","5","6","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","NA","2","NA","NA","NA","NA","5","NA","NA","3","NA","5","5","5","NA","5","NA","NA","2","available upon request","0","christianity","2","0","6","7","7","6","6","6","6","6","5","4","2"
"1180","NA","4","1","Kenya","5","5","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","1","2","6","5","5","5","5","5","5","4","NA","NA","NA","5","NA","4","NA","NA","5","5","NA","NA","NA","4","NA","NA","4","NA","NA","5","NA","3","NA","NA","NA","NA","NA","NA","5","6","available upon request","1","NA","2","1","7","7","7","7","7","7","5","7","7","6","7"
"1181","18","2","4","Kenya","5","5","3","5","5","5","5","5","5","5","5","5","5","4","5","5","3","5","5","5","5","5","6","5","5","5","2","5","5","5","NA","5","4","3","NA","NA","5","5","NA","NA","NA","NA","5","NA","NA","5","NA","NA","NA","NA","5","2","NA","NA","NA","1","NA","NA","NA","NA","3","available upon request","1","NA","2","1","5","5","5","6","5","5","2","2","6","1","1"
"1182","18","1","1","Kenya","6","6","6","5","6","6","6","6","6","6","5","4","6","1","6","4","6","4","5","5","6","2","1","5","2","1","4","6","6","2","NA","NA","3","NA","NA","NA","NA","NA","NA","3","5","5","NA","NA","NA","5","4","NA","5","NA","NA","6","NA","NA","6","NA","6","NA","NA","NA","1","available upon request","0","christianity","2","0","7","7","5","6","6","7","4","2","4","3","6"
"1183","19","2","2","Kenya","4","6","6","5","6","6","6","6","6","6","6","4","5","4","6","6","6","6","6","5","6","5","6","5","6","1","6","6","6","6","6","NA","6","NA","6","NA","NA","6","NA","NA","6","5","5","2","NA","NA","NA","5","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","4","available upon request","0","christianity","5","1","2","6","5","6","6","5","6","6","6","4","6"
"1184","NA","1","4","Kenya","5","5","5","6","5","5","6","5","6","6","5","5","6","6","5","5","6","5","6","5","5","6","6","6","5","6","6","5","6","5","NA","NA","NA","NA","NA","NA","NA","6","6","5","6","NA","NA","NA","NA","NA","5","NA","6","5","NA","NA","6","6","NA","6","NA","NA","NA","NA","3","available upon request","0","NA","3","0","7","7","5","7","7","7","5","5","6","6","6"
"1185","NA","1","2","Kenya","5","5","6","5","4","6","6","6","6","6","6","4","6","6","5","6","4","6","6","6","6","4","6","6","4","4","6","6","5","6","NA","6","6","6","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","5","2","NA","5","3","6","2","available upon request","1","NA","4","1","6","6","6","6","6","4","6","6","6","6","6"
"1186","NA","1","3","Kenya","4","6","6","3","6","6","6","6","6","6","3","3","6","1","6","6","6","6","6","6","6","3","6","6","5","1","6","4","6","6","4","4","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","6","NA","6","NA","6","NA","6","NA","4","NA","NA","NA","NA","NA","4","NA","4","NA","2","available upon request","1","NA","2","1","7","5","7","4","5","4","5","7","5","6","4"
"1187","18","1","1","Kenya","4","6","6","4","6","6","6","6","6","4","6","2","4","2","5","6","4","4","5","6","6","4","5","5","4","4","4","6","5","2","NA","NA","NA","NA","6","NA","6","6","NA","NA","NA","NA","NA","2","4","NA","NA","NA","5","NA","5","3","NA","NA","NA","3","NA","NA","5","NA","1","available upon request","1","spiritual but not religious","5","0","6","6","6","6","6","4","4","6","7","6","7"
"1188","18","1","1","Kenya","4","6","6","3","5","6","5","6","6","5","5","4","5","2","5","6","6","5","6","5","5","5","5","5","5","4","6","4","6","4","5","NA","NA","NA","NA","NA","2","NA","NA","4","6","NA","NA","NA","6","4","NA","6","NA","6","3","NA","NA","NA","NA","NA","6","NA","NA","NA","1","available upon request","1","islam","4","1","6","7","6","4","5","5","2","7","6","5","4"
"1189","19","1","1","Kenya","5","5","5","6","6","5","3","6","6","5","6","1","2","2","6","6","6","6","6","6","6","5","6","5","5","1","6","6","5","6","NA","NA","NA","3","4","1","NA","NA","1","NA","NA","NA","NA","NA","6","NA","NA","1","NA","1","NA","6","NA","NA","NA","1","NA","NA","1","NA","2","available upon request","1","NA","2","0","1","1","1","1","4","6","1","7","7","7","7"
"1190","18","1","4","Kenya","6","6","6","6","6","6","6","6","6","6","6","1","6","6","6","6","6","6","6","6","6","6","6","6","3","2","6","5","6","6","NA","6","6","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","6","NA","NA","6","NA","NA","6","6","NA","NA","6","6","6","NA","1","available upon request","0","christianity","4","0","6","6","6","4","6","6","5","6","6","2","6"
"1191","19","2","3","Kenya","5","5","4","5","5","5","5","6","5","4","4","1","6","5","4","5","4","6","5","5","4","5","5","5","5","2","4","5","4","5","NA","NA","NA","NA","NA","5","4","5","NA","5","4","1","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","4","NA","4","NA","NA","NA","5","NA","2","available upon request","0","christianity","3","0","6","6","6","5","6","6","4","7","6","4","4"
"1192","19","1","3","Kenya","6","6","4","6","6","5","5","6","6","6","4","2","4","6","5","5","4","4","3","5","6","5","5","5","5","3","3","4","6","4","NA","NA","NA","NA","4","5","5","NA","NA","5","NA","NA","4","NA","6","NA","NA","NA","NA","6","NA","NA","NA","5","NA","NA","1","NA","4","NA","1","available upon request","0","christianity","3","0","5","6","7","4","2","4","2","4","2","2","2"
"1193","20","2","3","Kenya","5","6","6","5","6","6","6","6","6","5","4","5","5","4","4","4","4","6","5","5","5","3","6","5","5","5","5","5","5","5","NA","4","4","3","4","3","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","4","1","available upon request","0","christianity","2","0","7","6","7","6","6","6","2","7","7","6","2"
"1194","18","1","1","Kenya","6","6","4","6","6","6","6","6","6","5","6","6","6","1","6","6","4","6","6","6","6","4","6","6","6","3","6","6","6","6","NA","NA","NA","NA","4","NA","NA","3","5","NA","NA","NA","NA","NA","1","NA","1","NA","2","NA","NA","6","NA","NA","NA","NA","6","2","NA","4","1","available upon request","1","christianity","4","0","5","7","7","7","7","7","2","7","7","7","3"
"1195","18","1","1","Kenya","5","5","6","5","5","6","6","6","6","6","3","5","1","1","6","5","6","4","4","6","5","1","5","5","4","1","6","4","5","6","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","1","6","5","4","NA","3","5","NA","NA","4","NA","NA","NA","NA","NA","5","4","1","available upon request","1","christianity","1","0","2","5","5","6","4","6","2","6","6","6","6"
"1196","18","2","1","Kenya","6","6","4","6","6","6","6","6","6","6","6","2","6","2","6","5","3","6","6","6","6","6","6","6","6","1","6","6","6","6","NA","NA","6","NA","NA","6","NA","NA","6","NA","NA","2","6","NA","NA","NA","NA","6","6","6","NA","NA","NA","6","NA","NA","NA","6","NA","NA","2","available upon request","1","christianity","2","1","7","7","7","5","5","4","4","7","7","4","4"
"1197","18","2","2","Kenya","5","6","5","6","5","3","5","5","5","5","5","2","5","5","5","5","5","6","5","5","5","5","6","5","6","5","5","5","5","5","NA","NA","NA","NA","NA","NA","NA","2","NA","2","5","NA","NA","NA","5","5","5","NA","NA","NA","NA","5","NA","5","NA","NA","2","5","NA","NA","1","available upon request","0","christianity","2","0","2","2","4","5","6","6","4","6","6","6","6"
